n: 100 p: 40
FO: 62359.96
HUBS: [26, 33, 5, 4, 49, 45, 31, 46, 48, 30, 6, 35, 24, 53, 44, 50, 29, 51, 3, 36, 10, 13, 52, 68, 64, 34, 25, 12, 62, 27, 22, 2, 47, 28, 15, 67, 72, 66, 73, 43]

OR	H1	H2	DS	CUSTO
0	4	4	1	34112.99
0	2	2	2	23111.76
0	3	3	3	22047.58
0	4	4	4	17844.57
0	4	5	5	22880.56
0	4	6	6	21570.38
0	4	4	7	32219.51
0	4	4	8	33797.40
0	4	4	9	27475.25
0	4	10	10	24888.90
0	4	4	11	28486.95
0	4	12	12	27047.84
0	4	13	13	30487.81
0	4	12	14	34945.29
0	4	15	15	34235.95
0	4	12	16	44080.24
0	4	12	17	47792.65
0	4	15	18	51337.40
0	4	12	19	54000.71
0	2	2	20	30779.54
0	2	2	21	31753.80
0	3	22	22	28660.60
0	3	24	23	32077.28
0	3	24	24	30291.42
0	3	25	25	32149.71
0	4	26	26	28857.73
0	4	27	27	28144.71
0	4	28	28	28755.11
0	4	29	29	30672.82
0	4	30	30	30895.94
0	4	31	31	33165.90
0	4	10	32	34642.68
0	4	33	33	33389.22
0	4	34	34	35512.55
0	4	35	35	35723.92
0	4	36	36	37878.64
0	4	33	37	40294.92
0	4	35	38	40573.04
0	4	15	39	49313.47
0	2	2	40	36104.31
0	3	22	41	34732.62
0	3	22	42	34809.79
0	2	43	43	34520.95
0	3	44	44	34163.04
0	3	45	45	34150.08
0	4	46	46	35827.45
0	4	47	47	36328.56
0	4	48	48	35473.43
0	4	49	49	36481.37
0	4	50	50	37770.89
0	4	51	51	37717.39
0	4	52	52	38557.91
0	4	53	53	37673.89
0	4	53	54	39300.77
0	4	53	55	40419.35
0	4	36	56	42935.91
0	4	36	57	45661.97
0	4	36	58	47739.98
0	4	36	59	48094.79
0	2	2	60	42340.44
0	2	43	61	41234.34
0	3	62	62	36938.65
0	3	62	63	39253.63
0	3	64	64	37729.48
0	3	64	65	40266.59
0	3	66	66	40801.75
0	3	67	67	40257.88
0	3	68	68	39664.39
0	3	67	69	43209.91
0	3	68	70	42957.84
