n: 100 p: 40
FO: 51860.03
HUBS: [96, 31, 19, 18, 69, 78, 27, 73, 54, 17, 83, 47, 33, 37, 50, 68, 4, 18, 71, 38, 48, 59, 16, 31, 93, 34, 48, 22, 56, 80, 15, 67, 59, 83, 15, 8, 51, 72, 82, 32]

OR	H1	H2	DS	CUSTO
0	4	4	1	34112.99
0	4	4	2	30730.67
0	4	4	3	26471.23
0	4	4	4	17844.57
0	4	4	5	24559.22
0	4	4	6	22812.32
0	8	8	7	19678.15
0	8	8	8	18071.46
0	8	8	9	24821.48
0	4	4	10	27237.01
0	4	4	11	28486.95
0	4	4	12	30115.59
0	4	4	13	34702.22
0	4	4	14	37591.52
0	4	15	15	34235.95
0	4	16	16	39533.19
0	8	17	17	41677.81
0	8	18	18	44745.78
0	8	19	19	44124.82
0	4	22	20	35783.51
0	4	22	21	34428.88
0	4	22	22	30465.05
0	4	22	23	34357.08
0	4	27	24	34619.85
0	4	27	25	35666.65
0	4	27	26	30197.58
0	4	27	27	28144.71
0	4	27	28	29481.67
0	4	27	29	31636.96
0	4	27	30	32246.36
0	4	31	31	33165.90
0	4	32	32	31674.01
0	4	33	33	33389.22
0	4	34	34	35512.55
0	4	33	35	36541.88
0	4	33	36	39578.57
0	4	37	37	37449.22
0	4	38	38	37878.94
0	4	38	39	48250.32
0	4	4	40	43721.76
0	4	22	41	36537.07
0	4	22	42	36614.25
0	4	22	43	38304.12
0	4	22	44	38385.85
0	4	27	45	37357.83
0	4	27	46	39178.13
0	4	47	47	36328.56
0	4	48	48	35473.43
0	4	48	49	37080.82
0	4	50	50	37770.89
0	4	51	51	37717.39
0	4	51	52	38860.36
0	4	34	53	38544.19
0	4	54	54	38875.40
0	4	54	55	40103.50
0	4	56	56	41439.17
0	4	56	57	45808.69
0	4	59	58	47492.69
0	4	59	59	45115.31
0	4	22	60	45139.75
0	4	22	61	44731.27
0	4	22	62	41795.02
0	4	22	63	43987.89
0	4	22	64	43069.35
0	4	67	65	43999.56
0	4	67	66	43153.52
0	4	67	67	40694.68
0	4	68	68	39715.27
0	4	69	69	42371.49
0	4	69	70	42675.22
0	4	71	71	40737.45
0	4	72	72	41344.91
0	4	73	73	40629.74
0	4	72	74	42666.21
0	4	73	75	42185.57
0	4	50	76	42912.19
0	4	54	77	43364.37
0	4	78	78	44491.52
0	4	56	79	48916.99
0	4	80	80	48805.33
0	4	82	81	48652.77
0	4	82	82	47052.46
0	4	83	83	46088.88
0	4	22	84	48449.94
0	4	22	85	50494.27
0	4	67	86	49100.23
0	4	67	87	47977.66
0	4	67	88	46754.95
0	4	69	89	44827.82
0	4	69	90	45437.93
0	4	69	91	43709.34
0	4	69	92	44803.58
0	4	93	93	46239.63
0	4	72	94	45729.33
0	4	72	95	43905.28
0	4	96	96	46021.66
0	4	73	97	45926.55
0	4	73	98	47436.19
0	4	73	99	48358.51
1	4	4	0	34112.99
1	4	4	2	29154.52
1	4	4	3	24895.09
1	4	4	4	16268.43
1	4	4	5	22983.08
1	4	4	6	21236.18
1	8	8	7	19762.69
1	8	8	8	18156.00
1	8	8	9	24906.02
1	4	4	10	25660.87
1	4	4	11	26910.81
1	4	4	12	28539.45
1	4	4	13	33126.08
1	4	4	14	36015.38
1	4	15	15	32659.81
1	4	16	16	37957.04
1	4	17	17	40400.31
1	4	18	18	43293.28
1	8	19	19	44209.36
1	22	22	20	33815.54
1	22	22	21	32460.91
1	22	22	22	28497.09
1	22	22	23	32389.11
1	4	27	24	33043.71
1	4	27	25	34090.51
1	4	27	26	28621.44
1	4	27	27	26568.56
1	4	27	28	27905.53
1	4	27	29	30060.82
1	4	27	30	30670.22
1	4	31	31	31589.76
1	4	32	32	30097.87
1	4	33	33	31813.08
1	4	34	34	33936.40
1	4	33	35	34965.74
1	4	33	36	38002.43
1	4	37	37	35873.08
1	4	38	38	36302.80
1	4	38	39	46674.18
1	22	22	40	41922.64
1	22	22	41	34569.10
1	22	22	42	34646.28
1	22	22	43	36336.15
1	22	22	44	36417.88
1	4	27	45	35781.68
1	4	27	46	37601.98
1	4	47	47	34752.42
1	4	48	48	33897.28
1	4	48	49	35504.67
1	4	50	50	36194.74
1	4	51	51	36141.24
1	4	51	52	37284.22
1	4	34	53	36968.04
1	4	54	54	37299.26
1	4	54	55	38527.35
1	4	56	56	39863.03
1	4	56	57	44232.55
1	4	59	58	45916.55
1	4	59	59	43539.17
1	22	22	60	43171.78
1	22	22	61	42763.30
1	22	22	62	39827.06
1	22	22	63	42019.92
1	22	22	64	41101.39
1	4	67	65	42423.41
1	4	67	66	41577.37
1	4	67	67	39118.53
1	4	68	68	38139.12
1	4	69	69	40795.34
1	4	69	70	41099.08
1	4	71	71	39161.31
1	4	72	72	39768.76
1	4	73	73	39053.60
1	4	72	74	41090.07
1	4	73	75	40609.42
1	4	50	76	41336.05
1	4	54	77	41788.23
1	4	78	78	42915.37
1	4	56	79	47340.85
1	4	80	80	47229.19
1	4	82	81	47076.63
1	4	82	82	45476.31
1	22	83	83	44153.44
